PPTID,Session1_Posner_cued_%correct,Session1_Posner_uncued_%correct,Session1_Posner_cued_RT,Session1_Posner_uncued_RT,Session1_Posner_cueing effect,Session1_SNARC_congruent_%correct,Session1_SNARC_incongruent_%correct,Session1_SNARC_ERRORCOST,Session1_SNARC_congruent_RT,Session1_SNARC_incongruent_RT,Session1_SNARC_RTCOST,Session1_NAVON_LOCAL_congruent_%correct,Session1_NAVON_LOCAL_incongruent_%correct,Session1_NAVON_LOCAL_ERRORCOST,Session1_NAVON_LOCAL_congruent_RT,Session1_NAVON_LOCAL_incongruent_RT,Session1_NAVON_LOCAL_RTCOST,Session1_NAVON_GLOBAL_congruent_%correct,Session1_NAVON_GLOBAL_incongruent_%correct,Session1_NAVON_GLOBAL_ERRORCOST,Session1_NAVON_GLOBAL_congruent_RT,Session1_NAVON_GLOBAL_incongruent_RT,Session1_NAVON_GLOBAL_RTCOST,Session1_NAVON_GLOBAL_PRECEDENCE_RTCOST,Session1_UPPS_NegativeUrgency,Session1_UPPS_Premeditation,Session1_UPPS_perseverance,Session1_UPPS_SensationSeeking,Session1_UPPS_PositiveUrgency,Session2_Posner_cued_%correct,Session2_Posner_uncued_%correct,Session2_Posner_cued_RT,Session2_Posner_uncued_RT,Session2_Posner_cueing effect,Session2_SNARC_congruent_%correct,Session2_SNARC_incongruent_%correct,Session2_SNARC_ERRORCOST,Session2_SNARC_congruent_RT,Session2_SNARC_incongruent_RT,Session2_SNARC_RTCOST,Session2_NAVON_LOCAL_congruent_%correct,Session2_NAVON_LOCAL_incongruent_%correct,Session2_NAVON_LOCAL_ERRORCOST,Session2_NAVON_LOCAL_congruent_RT,Session2_NAVON_LOCAL_incongruent_RT,Session2_NAVON_LOCAL_RTCOST,Session2_NAVON_GLOBAL_congruent_%correct,Session2_NAVON_GLOBAL_incongruent_%correct,Session2_NAVON_GLOBAL_ERRORCOST,Session2_NAVON_GLOBAL_congruent_RT,Session2_NAVON_GLOBAL_incongruent_RT,Session2_NAVON_GLOBAL_RTCOST,Session2_NAVON_GLOBAL_PRECEDENCE_RTCOST,Session2_UPPS_NegativeUrgency,Session2_UPPS_Premeditation,Session2_UPPS_perseverance,Session2_UPPS_SensationSeeking,Session2_UPPS_PositiveUrgency
22,96.09375,98.4375,338.9597506,331.4733186,-7.486431955,91.5625,92.5,-0.9375,468.2308134,459.4652671,-8.765546334,95.625,78.125,17.5,451.4182683,552.046616,100.6283477,88.125,94.375,-6.25,426.2941547,430.0852423,3.79108769,25.12411365,3.25,1.818181818,2.5,3.583333333,2.857142857,94.53125,95.3125,340.2941786,327.7039227,-12.59025592,92.1875,91.5625,0.625,484.22671,468.0029602,-16.22374974,96.875,79.375,17.5,539.3492983,602.0218516,62.67255329,89.375,94.375,-5,431.9311611,437.8586857,5.927524622,107.4181373,3,1.454545455,2.7,3.75,2.571428571
23,98.4375,97.65625,285.9888758,330.969852,44.9809762,94.0625,92.5,1.5625,514.3797515,535.1472658,20.76751425,98.75,85,13.75,510.0140312,598.9617111,88.94767986,93.75,90.625,3.125,440.8111233,436.4680994,-4.34302393,69.20290794,1.75,2,2.4,3.333333333,1.928571429,96.484375,97.65625,310.2327567,354.8651053,44.63234862,91.25,89.375,1.875,561.1929201,558.6335387,-2.559381417,99.375,85,14.375,512.6432336,612.1607853,99.51755172,93.125,92.5,0.625,427.7260259,421.6516334,-6.074392447,84.91720771,1.916666667,2,2.2,3.333333333,1.857142857
24,99.609375,98.4375,259.9011905,268.8995175,8.998326957,97.5,95.3125,2.1875,425.6074469,461.3787118,35.77126488,100,91.875,8.125,490.1948113,564.9717792,74.77696787,97.5,95.625,1.875,416.8416642,408.7484285,-8.093235633,73.35314718,2.666666667,2.636363636,2.3,3.666666667,2.857142857,99.609375,100,258.8807467,265.3588893,6.478142601,96.5625,93.4375,3.125,419.7806777,433.3071917,13.52651405,100,84.375,15.625,481.4324554,557.1882891,75.75583364,96.25,94.375,1.875,405.484463,405.397273,-0.087189956,75.94799247,2.833333333,2.818181818,2.4,3.666666667,2.928571429
25,98.046875,96.09375,260.9773795,295.0332405,34.05586101,96.25,96.5625,-0.3125,436.6034034,454.3135407,17.7101373,100,91.875,8.125,494.3552336,552.9354321,58.58019852,95.625,95.625,0,436.8884188,431.8376775,-5.050741351,57.46681481,2.833333333,2.454545455,2.3,3.416666667,2.142857143,98.6328125,98.4375,255.7990293,284.2008472,28.40181789,94.0625,94.6875,-0.625,392.4232417,413.3422779,20.91903623,96.25,80.625,15.625,438.9127577,504.8745329,65.9617752,91.25,93.125,-1.875,373.0058518,382.6435331,9.637681345,65.90690595,2.583333333,2,2.4,3.333333333,2.142857143
26,98.046875,96.09375,316.0793889,365.5986,49.51921111,88.125,90,-1.875,438.7824813,443.7285296,4.94604838,93.75,79.375,14.375,460.044669,562.5123528,102.4676838,88.75,85,3.75,451.8644727,437.4723044,-14.39216822,8.180196332,2.083333333,1.636363636,1.8,2.166666667,1.428571429,97.0703125,93.75,259.9997507,282.2386609,22.2389101,93.125,92.8125,0.3125,451.8764339,471.9148916,20.03845771,94.375,75,19.375,464.2060401,568.9409556,104.7349155,90,86.875,3.125,399.7511196,428.00408,28.25296043,64.4549205,2.333333333,1.818181818,2.1,1.583333333,1.285714286
27,98.2421875,99.21875,338.455683,455.3966315,116.9409486,97.1875,98.75,-1.5625,536.6758646,547.7147867,11.03892206,99.375,96.25,3.125,533.8780149,590.0188595,56.14084459,98.75,96.25,2.5,484.290132,471.7101319,-12.58000007,49.5878829,2.583333333,2,2,3.75,2.857142857,99.8046875,98.4375,335.255787,447.9184739,112.6626869,97.1875,95.9375,1.25,491.8617429,500.6960882,8.834345343,99.375,96.875,2.5,483.9631649,566.7114895,82.74832461,96.875,97.5,-0.625,434.7629472,442.6265812,7.86363401,49.20021767,2.833333333,2,1.9,3.583333333,2.357142857
28,99.4140625,97.65625,296.584264,309.4538927,12.86962866,94.0625,93.75,0.3125,427.3342843,433.8643216,6.530037286,98.75,85.625,13.125,459.3613152,538.5730201,79.2117049,95.625,90,5.625,396.0197848,388.9450874,-7.074697409,63.34153039,1.833333333,2.545454545,1.7,3.416666667,1.142857143,96.2890625,98.4375,250.4848233,252.8989105,2.414087226,92.1875,92.1875,0,440.9957645,464.1036464,23.10788191,97.5,82.5,15,513.7846121,602.3999903,88.61537826,93.125,89.375,3.75,396.5641769,396.6073419,0.043165044,117.2204352,2.333333333,2.727272727,2.1,3.666666667,1.642857143
29,99.4140625,98.4375,434.099932,510.5361001,76.43616812,95,90.625,4.375,571.9959568,590.8621469,18.86619006,98.75,89.375,9.375,762.5089088,887.0113946,124.5024859,95.625,94.375,1.25,733.3290476,740.9352469,7.606199365,29.17986118,3.25,2.090909091,2.1,3.083333333,2.214285714,98.6328125,99.21875,422.1769414,443.8501082,21.67316679,97.5,97.5,0,636.2809514,622.0153701,-14.26558131,100,96.25,3.75,665.3327965,700.495423,35.16262649,98.75,96.875,1.875,574.4534461,608.4909142,34.03746808,90.87935039,3.5,2,1.8,3.333333333,2
30,99.21875,100,293.3399795,322.6622132,29.32223375,90.625,91.5625,-0.9375,456.4115493,478.6876827,22.27613343,98.125,83.125,15,495.3374681,548.9097495,53.5722814,92.5,87.5,5,425.4326704,438.3158663,12.88319586,69.90479766,3.25,2.181818182,2.5,3.333333333,2.214285714,99.4140625,99.21875,278.2811961,309.0747718,30.79357568,88.75,91.875,-3.125,464.6999156,471.0058939,6.305978235,96.875,79.375,17.5,494.7408431,540.1112999,45.37045678,90,88.125,1.875,425.19162,424.9942981,-0.197321846,69.54922317,3.166666667,2.090909091,2.3,3.166666667,1.928571429
31,97.265625,100,265.532414,285.5712888,20.03887488,96.25,95.3125,0.9375,490.1427825,472.878919,-17.26386358,95.625,93.125,2.5,573.1018021,577.2284054,4.126603256,93.75,93.75,0,483.7023367,480.5624387,-3.139898079,89.39946537,2.25,2,1.6,3.583333333,2.285714286,99.0234375,96.875,249.1873717,271.8115763,22.62420457,94.6875,94.0625,0.625,439.780272,448.1889504,8.408678444,97.5,95,2.5,491.5586098,556.498043,64.93943321,95,91.875,3.125,422.1423597,404.5193445,-17.62301524,69.41625005,2.333333333,2.181818182,1.6,3.583333333,1.857142857
