PPTID,Session1_Flanker_congruent_%correct,Session1_Flanker_neutral_%correct,Session1_Flanker_incongruent_%correct,Session1_Flanker_errorcost,Session1_Flanker_congruent_RT,Session1_Flanker_neutral_RT,Session1_Flanker_incongruent_RT,Session1_Flanker_RTcost,Session1_Stroop_congruent_%correct,Session1_Stroop_neutral_%correct,Session1_Stroop_incongruent_%correct,Session1_Stroop_errorcost,Session1_Stroop_congruent_RT,Session1_Stroop_neutral_RT,Session1_Stroop_incongruent_RT,Session1_Stroop_RTcost,Session1_GNG_gotrials_%correct,Session1_GNG_nogotrials_%correct,Session1_GNG_gotrials_RT,Session1_StopSignal_%Failedstop,Session1_StopSignal_MeanSSD,Session1_StopSignal_SSRTMEAN,Session1_StopSignal_GoRT,Session1_StopSignal_%correctGo,Session1_StopSignal_SSRTINTEGRATION,Session1_UPPS_NegativeUrgency,Session1_UPPS_Premeditation,Session1_UPPS_perseverance,Session1_UPPS_SensationSeeking,Session1_UPPS_PositiveUrgency,Session2_Flanker_congruent_%correct,Session2_Flanker_neutral_%correct,Session2_Flanker_incongruent_%correct,Session2_Flanker_errorcost,Session2_Flanker_congruent_RT,Session2_Flanker_neutral_RT,Session2_Flanker_incongruent_RT,Session2_Flanker_RTcost,Session2_Stroop_congruent_%correct,Session2_Stroop_neutral_%correct,Session2_Stroop_incongruent_%correct,Session2_Stroop_errorcost,Session2_Stroop_congruent_RT,Session2_Stroop_neutral_RT,Session2_Stroop_incongruent_RT,Session2_Stroop_RTcost,Session2_GNG_gotrials_%correct,Session2_GNG_nogotrials_%correct,Session2_GNG_gotrials_RT,Session2_StopSignal_%Failedstop,Session2_StopSignal_MeanSSD,Session2_StopSignal_SSRTMEAN,Session2_StopSignal_GoRT,Session2_StopSignal_%correctGo,Session2_StopSignal_SSRTINTEGRATION,Session2_UPPS_NegativeUrgency,Session2_UPPS_Premeditation,Session2_UPPS_perseverance,Session2_UPPS_SensationSeeking,Session2_UPPS_PositiveUrgency
1,95.417,97.500,91.250,4.167,391.617,379.665,432.564,40.947,93.75,92.5,92.08333333,1.667,533.3048936,560.4823521,618.8437941,85.539,99.11111111,84.66666667,453.2733795,49.33333333,264,273.4136364,518.15311,98.20224719,236,3,1.727272727,2.5,3.25,2,97.08333333,96.25,90.41666667,6.666666667,395.8214927,384.8200841,444.718649,48.89715635,93.75,92.08333333,91.25,2.5,515.562856,551.6826304,579.8928314,64.32997537,99.33333333,87.33333333,485.3117662,50.33557047,243.6241611,244.8162884,472.1934732,99.55156951,214.8691275,2.166666667,1.363636364,1.8,1.5,1.785714286
2,98.750,98.750,84.583,14.167,438.277,429.105,497.593,59.316,95.83333333,95,95.41666667,0.417,605.8623917,627.0599713,663.9841232,58.122,99.55555556,84,443.287059,50,228.7162162,266.4918375,474.6205251,99.32885906,232.2837838,3,2,1.9,3,2.285714286,96.25,97.08333333,85,11.25,410.9563847,403.5888685,456.6911414,45.73475667,95.41666667,95.83333333,93.75,1.666666667,560.8299629,579.0015364,594.7176319,33.887669,99.55555556,86.66666667,449.8498836,50.67567568,168.9189189,245.9222444,406.2891566,96.86800895,236.1013514,3.333333333,2.181818182,2.2,3.166666667,2.5
3,98.750,97.917,92.500,6.250,432.702,419.191,460.316,27.614,99.58333333,97.08333333,92.5,7.083,619.5825215,636.0394089,700.1228885,80.540,99.55555556,93.33333333,418.0059511,33.33333333,1216.288889,-313.7324035,902.0630252,61.97916667,-412.4555556,2.833333333,1.181818182,2.4,3,3,97.91666667,99.58333333,94.16666667,3.75,427.2412733,417.0914925,446.8232251,19.58195185,99.16666667,95.83333333,95.83333333,3.333333333,619.2101531,645.5461578,698.0331615,78.82300837,100,96,391.9578888,45.45454545,611.9318182,233.6712947,845.6031128,95.53903346,239.0227273,2.5,1.363636364,2,2.916666667,2.357142857
4,93.333,95.000,82.083,11.250,409.110,408.189,447.856,38.747,94.16666667,93.33333333,92.5,1.667,549.4844966,567.4161838,605.8328997,56.348,100,83.33333333,405.4268658,52,132,263.6171171,390.2038369,95.95505618,259,1.916666667,1.818181818,2.6,3.25,1.428571429,91.66666667,90.83333333,86.66666667,5,408.1452373,394.6886349,422.9985338,14.85329646,94.58333333,92.08333333,92.08333333,2.5,537.7044863,535.9737416,562.88612,25.18163373,99.33333333,76,416.5263005,54,118.3333333,246.2059925,363.5869565,93.93258427,248.6666667,2.333333333,2.090909091,2.7,3.166666667,1.785714286
5,98.750,98.750,88.333,10.417,429.094,434.685,481.107,52.013,93.75,94.16666667,95.41666667,-1.667,616.5234636,624.4023325,637.7580256,21.235,100,93.33333333,409.8867251,50.67567568,229.3918919,282.8170969,502.5280374,98.65771812,255.6148649,2.166666667,1.363636364,1.8,1.5,1.785714286,94.16666667,94.16666667,85.83333333,8.333333333,396.6643216,403.6784368,432.7240399,36.05971824,95,93.33333333,93.33333333,1.666666667,589.6499275,592.5205083,616.7463537,27.09642611,99.77777778,94,407.7603041,51.00671141,182.5503356,258.5557592,409.1152882,96.86098655,226.4496644,1.833333333,2.181818182,1.9,1.166666667,1.214285714
6,94.583,94.167,86.250,8.333,415.769,415.958,445.953,30.184,90.83333333,88.33333333,91.66666667,-0.833,616.3603846,635.3280901,653.3884204,37.028,100,92,383.7262542,49.65986395,375.5102041,270.6164928,644.7363636,98.4375,245.4863946,2.25,1.909090909,1.7,3.25,2,84.16666667,81.25,66.66666667,17.5,409.99494,396.5359889,419.582539,9.587599057,87.91666667,91.66666667,91.66666667,-3.75,597.1595595,584.9685896,607.7357193,10.57615982,100,97.33333333,406.3701282,62.41610738,120.1342282,301.1788349,422.1119403,92.82511211,315.4932886,1.916666667,1.454545455,1.8,3.75,1.642857143
7,94.167,90.000,85.417,8.750,426.215,408.744,463.562,37.347,93.75,95.83333333,93.75,0.000,570.5723825,588.4113159,610.8941356,40.322,99.33333333,83.33333333,432.5489133,52.34899329,148.6577181,270.4075972,415.0924574,94.39461883,256.3422819,2.666666667,1.909090909,2,1.833333333,2.071428571,95,96.25,80.83333333,14.16666667,425.1888873,416.1668711,480.3892402,55.20035293,95.83333333,93.33333333,92.91666667,2.916666667,555.0455825,584.4190862,575.2556195,20.21003705,100,78,429.9292945,52.38095238,166.6666667,267.1188864,422.2663317,93.08035714,256.4285714,1.833333333,1.545454545,1.9,2.083333333,1.357142857
8,93.750,94.583,81.667,12.083,357.368,352.289,369.027,11.660,91.25,90.41666667,87.08333333,4.167,535.6479856,550.4035988,576.3126737,40.665,100,79.33333333,324.8427906,51.33333333,139.3333333,229.0868914,363.6357309,98.87640449,221.6666667,2.75,2,2.1,2.5,2.071428571,97.5,95.41666667,87.08333333,10.41666667,368.0983469,370.1543655,399.1549543,31.05660734,90,90.41666667,83.75,6.25,533.8178588,511.7915301,541.3146953,7.496836503,100,66,313.3909827,54.72972973,109.1216216,225.3459399,329.1256039,95.52572707,219.8783784,2.916666667,2.181818182,2.2,2.25,2
9,99.583,100.000,95.417,4.167,448.155,446.546,502.386,54.230,99.16666667,98.75,97.5,1.667,678.8539467,677.6980025,690.2352814,11.381,99.11111111,74,491.7928293,50,257,283.7287356,507.5848101,96.17977528,246,3.333333333,1.909090909,2.1,3.083333333,2.428571429,98.75,99.58333333,89.58333333,9.166666667,429.0651059,432.8936442,499.0353766,69.97027077,95.41666667,94.16666667,91.25,4.166666667,660.5591298,654.6661343,705.7950398,45.23590994,99.11111111,73.33333333,471.7192806,49.32432432,275.3378378,241.8717294,508.1549637,94.63087248,211.6959459,3,2,2.1,3,2.214285714
10,91.250,92.083,90.417,0.833,454.056,459.020,483.066,29.010,97.91666667,97.5,95,2.917,667.1748886,714.7864919,774.3314671,107.157,99.11111111,93.33333333,463.8099913,49.33333333,267,323.0762125,554.2625369,80.6741573,282,2,2.363636364,1.9,2.75,2,96.25,93.33333333,90.41666667,5.833333333,455.8630248,447.4127717,496.7500883,40.88706354,93.33333333,90.41666667,93.33333333,0,578.6112709,636.9561847,660.0552779,81.44400704,99.77777778,90.66666667,476.7417593,50,240.2027027,283.8626126,499.335,94.85458613,258.7972973,2.25,2.454545455,1.5,2.583333333,1.928571429
